Name,Edu_Count,Health_Count
Waguruwela,0,0
Walhaputhenna,3,0
Wangiyakumbura,2,0
Waradola,0,0
Waragama,0,0
Warakadanda,0,0
Warunagama,0,0
Wasanagama,0,0
Wasipaha,0,0
Watagamuwa1,1,0
Watagamuwa2,0,0
Watagommana,0,0
Watawanagama,0,0
Wattegama,0,0
Wattekele,0,0
We Eliya,0,0
Weerakongama,0,0
Wegama,0,0
Wegama South,0,0
Weheragalathenna,0,1
Wekumbura,0,1
Welamedagama,0,0
Welampele,0,0
Welanhinna,0,0
Welanvita,0,0
Welaoya,0,0
Welgolla,0,0
Weliara,0,0
Welibissa1,0,0
Welibissa2,0,0
Welikadagama,0,0
Welikemulla,0,0
Welimada Town,2,0
Welimada Watta,0,0
Weliulla,0,0
Weliyaya,0,0
Wellawaya,0,0
Wepassawela,1,0
Weragoda,0,0
Wethalawa,0,0
Wewabedda,0,0
Wewathanna1,0,0
Wewathanna2,0,0
Wewathenna,0,0
Wewatta,0,0
Wewegama,0,0
Wewekele,0,0
Wewelhinna,0,0
Wewessa,0,0
Wewgampaha,0,0
Wijayapura,0,0
Yahala Arawa,0,0
Yahalewela,0,6
Yakkadurawa,0,0
Yakunnawa,0,0
Yakurawa,0,0
Yalabowa,1,0
Yalagamuwa,0,0
Yalkumbura,0,0
Yalpathwela,0,0
Yapamma,0,1
Yatilellagama,0,0
Yatiyallathota,0,0
Yudaganawa,0,1
